,reviewer_id,reviewer_name,genre,area,review_cnt,follower,favorite,photo
0,00000001,一老太,カフェ,東京,18013,8683,248886,122542
1,00000002,maro-j,ラーメン,東京,10515,2991,107657,51129
2,00000003,やく年,ラーメン,東京,11089,1116,77709,45407
3,00000004,ﾄﾑ,居酒屋,北海道,10652,3846,439141,219264
4,00000005,KEN21,カフェ,神奈川,10301,5697,2198569,131975
5,00000006,鉄道王,居酒屋,愛知,9655,5620,3054433,65729
6,00000007,ゴクチュウ酒記,居酒屋,福岡,9512,2477,133296,55143
7,00000008,taktak99,洋菓子,広島,9657,2199,159417,39262
8,00000009,無芸小食,居酒屋,東京,9358,3572,915758,70566
9,00000010,hoshi10,居酒屋,東京,9420,736,99594,53511
10,00000011,サルピル・マンダ,ラーメン,新潟,8718,1697,37399,0
11,00000012,飲んで食ってBMI22,居酒屋,東京,8917,1609,236741,36453
12,00000013,eb2002621,和菓子・甘味処,大阪,10556,3523,1764540,75446
13,00000014,トントンマン,居酒屋,東京,8375,5117,1930935,69631
14,00000015,にゅん♪♪,そば・うどん・麺類,大阪,7868,2402,494550,86399
15,00000016,つ・よ・き・ち,パン,千葉,8068,3234,1688563,58174
16,00000017,ツイストマン,居酒屋,東京,7758,3622,982998,48710
17,00000018,まっぱぁ,ラーメン,東京,7517,1118,81356,28167
18,00000019,Pochi Pochi,居酒屋,兵庫,7482,2742,717313,79377
19,00000020,北のもみたろう,カフェ,北海道,7277,6596,1505593,83838
20,00000021,行列のできる,その他,千葉,9354,7932,4610617,146048
21,00000022,ノバンディ,居酒屋,東京,7177,4073,397943,49540
22,00000023,かんみ♪,カフェ,大阪,6948,6071,1018024,105783
23,00000024,てっぷさん,ラーメン,宮城,7005,2905,490287,54476
24,00000025,ponyo426,喫茶店,岐阜,6680,430,26200,39008
25,00000026,keipon0414,その他,北海道,7714,3213,1652631,84465
26,00000027,shin_tokyo,パン,東京,6431,3033,306435,394
27,00000028,マス　オオヤマ,ラーメン,大阪,6798,3152,213011,36224
28,00000029,おか丼,日本料理,東京,6327,1530,49055,0
29,00000030,さすらい講師,居酒屋,大阪,6399,1064,95488,61409
30,00000031,美味B級,ラーメン,東京,6959,8899,726890,97619
31,00000032,ｔｏｍｏｓｅｉｐａｐａ,カフェ,兵庫,6289,2805,501322,83990
32,00000033,mayupapa,パン,福岡,6546,6016,247499,83426
33,00000034,グリーンパフェ,洋菓子,東京,6561,1371,165445,36174
34,00000035,TOMIT,居酒屋,東京,6419,6770,382319,75624
35,00000036,nekonokaze,カフェ,神奈川,6609,3926,531316,46612
36,00000037,tabe-aruki,居酒屋,東京,6095,676,38156,10773
37,00000038,ひしもち,洋菓子,愛知,6499,482,99476,37268
38,00000039,てくてくもぐもぐ,カフェ,東京,6045,796,119791,15683
39,00000040,カレーおじさん＼(^o^)／,カレーライス,東京,5824,11555,467200,9887
40,00000041,じむち,居酒屋,東京,6492,1326,64845,2422
41,00000042,まれれん,カフェ,神奈川,6756,665,134001,27184
42,00000043,と＠,ラーメン,岡山,6772,652,121630,84599
43,00000044,食べ過ぎ太り過ぎ,ラーメン,北海道,6319,4932,1688960,228380
44,00000045,踊る院長,居酒屋,大阪,5771,1914,154781,40320
45,00000046,飲みニスト0430,居酒屋,東京,5701,2990,265061,66436
46,00000047,さんどがさ,居酒屋,東京,5672,1484,121258,47188
47,00000048,シーリア,居酒屋,東京,5900,1233,337558,14796
48,00000049,ちゃご,カフェ,愛知,5446,3388,851753,45826
49,00000050,Zaby,カフェ,北海道,5869,1756,585311,96217
50,00000051,ちー＆りー,その他,東京,7557,923,369737,21088
51,00000052,わさびのブログ,カフェ,兵庫,6057,10122,3163510,268544
52,00000053,まなちん,カフェ,愛知,5233,2011,95276,28218
53,00000054,デカ夫,居酒屋,東京,5205,1225,125652,38524
54,00000055,taxx,居酒屋,東京,5153,8268,423754,29587
55,00000056,紫陽花の朝,カフェ,京都,5257,1409,202948,31417
56,00000057,スパマキシマム,居酒屋,愛知,5164,4678,1072527,89316
57,00000058,はちもぐ,居酒屋,東京,5240,3775,435749,67399
58,00000059,ミトミえもん,ラーメン,東京,5170,9592,469976,43116
59,00000060,ロロノア・初老,南アジア料理,埼玉,5296,1102,173447,32651
60,00000061,まめぞう,カフェ,東京,5115,5768,860601,96501
61,00000062,kennny,そば・うどん・麺類,東京,5530,1829,279075,6909
62,00000063,yama-log,ラーメン,京都,5044,3444,419780,63021
63,00000064,taityo2009,カフェ,東京,5172,444,98797,18787
64,00000065,okamooo,居酒屋,東京,5170,6144,85511,46672
65,00000066,自称独り者グルメ,居酒屋,東京,5167,7658,1709535,118622
66,00000067,ショテマエ,居酒屋,東京,5006,1307,94297,19287
67,00000068,ねりまる,寿司,東京,4939,2043,433377,26019
68,00000069,早瀬あゆき,カフェ,東京,4786,1018,84097,30571
